,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
334,Bielsk Podlaski,PL,44.67,52.77,23.19,85,83,1.01
335,Trinidad,UY,62.87,-33.52,-56.9,59,0,9.71
336,Skala,GR,55.29,36.85,22.66,81,75,1.25
337,Sorland,NO,42.8,67.67,12.69,75,40,8.05
338,Kurchum,KZ,38.03,48.57,83.65,66,100,8.57
339,Teeli,RU,29.03,51.01,90.2,60,32,3.27
340,Nova Olimpia,BR,85.73,-14.8,-57.29,69,100,1.9
341,Chuy,UY,64.13,-33.69,-53.46,62,0,15.19
342,Chateaubelair,VC,82.67,13.28,-61.25,69,20,13.87
343,Hvide Sande,DK,48,56.01,8.13,57,0,1.12
344,Nuuk,GL,32,64.17,-51.74,77,75,12.75
345,Hambantota,LK,83.03,6.12,81.12,79,98,8.25
346,Corrientes,AR,76.14,-27.47,-58.83,83,90,2.24
347,Baykit,RU,20.75,61.68,96.39,90,100,10.27
348,Santa Maria,BR,69.8,-29.69,-53.81,88,90,8.05
349,Port Lincoln,AU,60.17,-34.72,135.86,59,100,8.57
350,Larsnes,NO,49.93,62.2,5.58,93,75,4.7
351,San Cristobal,EC,56.12,-0.39,-78.55,82,75,6.93
352,Lagoa,PT,62.58,37.14,-8.45,72,20,5.82
353,Sucre,BO,69.8,-19.05,-65.26,43,20,16.11
354,Mahabad,IR,44.33,36.77,45.72,60,68,2.75
355,Umm Lajj,SA,74.21,25.02,37.27,52,0,24.23
356,Lulea,SE,44.6,65.58,22.15,75,0,5.82
357,Kambove,CD,63.59,-10.88,26.6,95,100,3.67
358,Ouango,CD,76.91,4.31,22.55,42,51,0.83
359,Zabid,YE,67.91,14.2,44.5,84,100,4.07
360,Zhireken,RU,29.21,52.82,117.29,32,99,3.2
361,Tartagal,AR,73.4,-22.52,-63.8,88,75,6.93
362,Wattegama,LK,73.49,7.35,80.68,92,64,1.52
363,Guilin,CN,71.6,25.28,110.29,83,90,6.71
364,Nytva,RU,41,57.94,55.33,56,0,8.95
365,Lingao,CN,79.97,19.91,109.69,84,1,7.27
366,Fortuna,ES,56.68,38.18,-1.13,72,75,9.17
367,Dubti,ET,87.53,11.74,41.09,40,18,16.82
368,Nesna,NO,38.97,66.2,13.02,80,75,11.43
369,Shelburne,CA,55.42,44.08,-80.2,58,20,6.93
370,Bonavista,CA,42.01,48.65,-53.11,84,98,4
371,Buraydah,SA,73.4,26.33,43.97,16,0,16.11
372,Yilan,TW,74.25,24.75,121.75,88,20,6.93
373,Caceres,CO,82.85,5.53,-74.53,40,100,3.69
374,Bosaso,SO,82.85,11.28,49.18,72,33,3.49
375,Comodoro Rivadavia,AR,64.4,-45.87,-67.48,39,0,8.05
376,Vestmanna,FO,46.4,62.16,-7.17,100,100,14.99
377,Vostok,RU,32.63,46.45,135.83,42,0,3.49
378,Ossora,RU,31.55,59.24,163.07,77,49,0.69
379,Nichinan,JP,57,31.65,131.31,78,2,2.39
380,Airai,TL,73.31,-8.93,125.41,72,59,6.24
381,Fagernes,NO,35.51,60.99,9.24,80,86,3.18
382,Yaan,NG,92.57,7.38,8.57,37,99,6.98
383,Walvis Bay,NA,57.74,-22.95,14.51,82,49,2.24
384,Khani,GE,42.8,41.96,42.96,93,75,2.24
385,Khasan,RU,42.53,42.43,130.64,30,0,4.72
386,Pacific Grove,US,65.14,36.62,-121.92,49,1,9.17
387,Swellendam,ZA,64.4,-34.02,20.44,72,28,10.29
388,Manta,RO,47.75,45.1,24.1,81,98,2.8
389,Mayya,RU,17.6,61.74,130.28,100,0,2.24
390,Wagar,US,78.66,31.44,-87.99,24,0,2.46
391,Yichun,CN,31.55,47.72,128.88,40,98,2.28
392,Mao,DO,85.84,19.55,-71.08,48,40,18.34
393,Rocha,UY,57.47,-34.48,-54.34,67,0,6.15
394,Trairi,BR,75.29,-3.28,-39.27,96,100,3.27
395,Antofagasta,CL,66.2,-23.65,-70.4,63,20,16.11
396,Sunrise Manor,US,74.53,36.21,-115.07,25,40,5.82
397,Zapolyarnyy,RU,39.2,69.43,30.82,69,0,33.33
398,Mehriz,IR,69.8,31.58,54.44,13,0,2.24
399,Isiro,CD,73.67,2.77,27.62,57,61,1.45
400,Verkhnyaya Inta,RU,35.33,65.99,60.32,95,99,15.14
401,Saint-Joseph,FR,61.12,43.56,6.97,72,0,1.12
402,Goderich,CA,53.55,43.74,-81.71,67,19,3
403,Taoudenni,ML,83.21,22.68,-3.98,12,0,11.61
404,Maragogi,BR,76.37,-9.01,-35.22,79,55,3.78
405,Coihaique,CL,58.46,-45.58,-72.07,62,0,2.33
406,Bonthe,SL,83.39,7.53,-12.5,77,37,7.92
407,Tema,GH,84.2,5.66,-0.01,79,0,11.41
408,Barentu,ER,81.05,15.11,37.59,27,65,4.5
409,Qitaihe,CN,37.13,45.77,131.01,32,0,1.95
410,Porto Novo,BR,78.8,-23.68,-45.44,69,40,9.82
411,Boyolangu,ID,72.23,-8.09,111.9,96,52,2.77
412,Lexington Park,US,64.54,38.26,-76.45,59,40,9.17
413,Kirakira,SB,81.41,-10.46,161.92,78,100,2.95
414,Nome,US,77.09,30.04,-94.42,44,1,12.75
415,Acapulco,MX,84.2,16.86,-99.88,70,5,5.82
416,Talas,TR,37.11,38.69,35.55,64,75,2.24
417,Inuvik,CA,41,68.36,-133.71,52,20,9.17
418,Rangapara,IN,64.13,26.82,92.69,57,2,4.32
419,Poretskoye,RU,49.37,55.2,46.33,51,97,0.67
420,High Rock,BS,77,26.63,-78.28,50,40,10.29
421,Kang,BW,67.37,-23.67,22.79,58,100,27.45
422,Alamosa,US,58.93,37.47,-105.87,11,40,16.11
423,Dingle,PH,73.85,11,122.67,89,34,7.36
424,Zonguldak,TR,48.29,41.25,31.83,64,72,0.98
425,Itamaraju,BR,74.57,-17.04,-39.53,87,9,5.66
426,Rome,IT,59.92,41.89,12.48,58,0,4.7
427,Manono,CD,73.49,-7.3,27.4,77,93,1.92
428,General Roca,AR,75.2,-39.03,-67.58,29,0,8.05
429,Fougamou,GA,76.73,-1.22,10.59,95,100,3.2
430,Adrar,DZ,77,27.87,-0.29,20,0,11.41
431,Kendari,ID,74.39,-3.99,122.52,96,100,2.68
432,Banposh,IN,76.55,22.25,84.8,57,0,1.36
433,Kiama,AU,64.13,-34.67,150.86,100,94,2.62
434,Black River,JM,80.74,18.03,-77.85,74,40,23.04
435,Xochihuehuetlan,MX,99.41,17.92,-98.43,16,0,3.18
436,Puebloviejo,CO,88.65,10.99,-74.28,49,40,23.04
437,Limon,US,59.34,39.26,-103.69,36,90,19.46
438,Tefe,BR,86,-3.35,-64.71,74,40,5.82
439,Zdvinsk,RU,30.47,54.7,78.67,77,0,1.39
440,Santiago,CL,68.4,-33.44,-70.65,37,0,5.82
441,Algeciras,ES,60.15,36.13,-5.45,77,75,6.93
442,Swift Current,CA,55.4,50.29,-107.8,19,1,20.8
443,Guerrero Negro,MX,59.63,27.97,-114.04,84,95,14.2
444,Mount Gambier,AU,42.8,-37.83,140.78,100,6,8.08
445,Geraldton,CA,42.8,49.72,-86.95,45,20,6.93
446,Susanville,US,57.22,40.42,-120.65,33,1,9.17
447,Xacmaz,AZ,33.71,41.46,48.81,96,47,0.58
448,Belyy Yar,RU,30.2,53.6,91.39,86,40,6.71
449,Pangoa,PE,91.67,-12.12,-73,36,100,5.64
450,Hami,CN,68.81,42.84,93.51,33,97,13.51
451,Broome,GB,49.1,52.47,1.45,81,0,6.93
452,Tokmak,UA,49.55,47.26,35.7,53,100,7.16
453,Mercedes,UY,66.83,-33.25,-58.03,48,0,12.91
454,Neiafu,TO,78.8,-18.65,-173.98,74,75,11.41
455,Porbandar,IN,79.61,21.64,69.61,79,0,12.93
456,Camacha,PT,63.16,33.08,-16.33,77,40,25.28
457,Beringovskiy,RU,8.51,63.05,179.32,82,0,5.35
458,Nyimba,ZM,70.97,-14.56,30.81,69,90,2.48
459,Ahipara,NZ,64.99,-35.17,173.16,100,100,11.56
460,Puerto Suarez,BO,90.41,-18.96,-57.8,59,40,6.93
461,San Ramon,NI,78.49,12.92,-85.84,57,75,12.46
462,Port Hardy,CA,46.4,50.7,-127.42,87,90,11.41
463,Luebo,CD,76.91,-5.35,21.42,69,100,1.01
464,Coahuayana,MX,104.27,18.62,-100.35,12,2,5.39
465,Sur,OM,86.45,22.57,59.53,43,0,11.59
466,Isakly,RU,41.09,54.13,51.53,64,69,1.74
467,Shimoda,JP,60.6,34.7,138.93,89,11,2.71
468,Banswada,IN,92.39,18.38,77.88,28,94,9.1
469,Zhuzhou,CN,66.2,27.84,113.15,82,90,6.71
470,Blagoyevo,RU,36.05,63.37,47.92,89,97,7.52
471,Najran,SA,80.6,17.54,44.22,42,0,4.7
472,San Felipe,CL,69.01,-32.75,-70.73,56,0,1.01
473,Aleksin,RU,44.6,54.5,37.07,45,0,2.57
474,Dryden,CA,59,49.79,-92.84,33,1,6.93
475,Kawai,JP,61,34.58,135.74,93,90,5.82
476,Anadyr,RU,1.18,64.73,177.51,70,0,11.18
477,Mbigou,GA,72.59,-1.9,11.91,97,100,2.64
478,Mandapam,IN,86.09,9.28,79.12,77,100,10.54
479,Montrose,AU,57.78,-37.81,145.34,82,75,11.41
480,Westport,IE,53.56,53.8,-9.52,93,40,9.17
481,Stirling,GB,57.92,56.12,-3.94,47,0,8.05
482,Marsh Harbour,BS,72.59,26.54,-77.06,53,0,8.77
483,Prince Rupert,CA,48.2,54.32,-130.32,70,90,11.61
484,Aykhal,RU,14,65.95,111.51,85,90,4.47
485,Le Mont-sur-Lausanne,CH,51.85,46.56,6.63,66,39,4.7
486,Aguadilla,PR,77.09,18.43,-67.15,94,90,5.82
487,Shahreza,IR,49.19,32.01,51.87,29,0,5.17
488,Longyearbyen,NO,17.6,78.22,15.63,40,0,13.87
489,Naifaru,MV,84.83,5.44,73.37,73,9,11.01
490,San Rafael,AR,64.49,-34.61,-68.33,33,0,10.4
491,Copiapo,CL,64.4,-27.37,-70.33,59,40,9.17
492,Naters,CH,49.53,46.32,7.99,64,100,3.36
493,Palana,RU,29.93,59.08,159.95,90,7,4.59
494,Willowmore,ZA,51.35,-33.3,23.49,92,18,4.36
495,Pedasi,PA,88.61,7.53,-80.03,48,100,5.23
496,Saint-Pierre,FR,53.96,48.95,4.24,55,0,4.7
497,Machico,PT,61.63,32.7,-16.77,72,20,13.87
498,Hammerfest,NO,40.41,70.66,23.68,80,75,46.08
499,Banjar,ID,73.85,-7.37,108.54,96,100,1.81
500,Chicama,PE,73.4,-7.84,-79.15,83,0,9.17
501,Kota Kinabalu,MY,78.57,5.98,116.07,88,75,5.82
502,Mantua,IT,56.98,45.16,10.79,47,0,5.82
503,Huarmey,PE,68.81,-10.07,-78.15,93,10,14.43
504,Qasigiannguit,GL,28.4,68.82,-51.19,86,90,9.17
505,Tzucacab,MX,95.27,20.07,-89.05,20,0,3.74
506,Ukiah,US,65.75,39.15,-123.21,40,1,8.05
507,San Pedro,AR,68.13,-33.68,-59.66,47,0,1.99
508,Fredericton,CA,58.33,45.97,-66.65,93,90,10.29
509,Kyzyl-Suu,KG,53.87,42.34,78,57,94,12.46
510,Port Hedland,AU,71.6,-20.31,118.58,19,87,9.17
511,Peterborough,GB,55.56,52.57,-0.24,54,0,5.82
512,Bonoua,CI,84.2,5.27,-3.6,89,20,6.93
513,Glace Bay,CA,58.28,46.2,-59.96,77,75,18.34
514,Itarema,BR,78.17,-2.92,-39.92,89,100,5.73
515,Claresholm,CA,55.67,50.02,-113.58,37,40,4.7
516,Mezen,RU,40.19,65.85,44.24,88,100,15.68
517,Pangnirtung,CA,12.2,66.15,-65.72,72,5,8.05
518,Gazli,UZ,56.57,40.13,63.45,43,0,6.53
519,Temba,ZA,59.99,-25.38,28.26,58,91,4
520,Balgazyn,RU,25.97,51,95.2,57,3,5.97
521,Muros,ES,60.06,42.77,-9.06,76,0,11.41
522,Abu Dhabi,AE,87.3,24.47,54.37,30,0,6.93
523,Bermejo,AR,71.51,-22.73,-64.34,99,100,2.39
524,Ribeirao Branco,BR,67.91,-24.22,-48.77,97,100,2.42
525,Dabrowa Tarnowska,PL,51.04,50.17,20.99,63,6,8.59
526,Tangerang,ID,79.63,-6.17,106.64,74,20,8.05
527,Ursulo Galvan,MX,87.8,20.6,-97.44,45,5,5.82
528,Scarborough,GB,54.01,54.28,-0.41,57,0,5.82
529,Lukovetskiy,RU,44.6,64.29,41.92,56,40,8.95
530,Laguna,MX,86,27.52,-110.01,33,75,14.99
531,Kachug,RU,27.05,53.96,105.89,80,93,4.94
532,Sept-Iles,CA,38.14,50.2,-66.38,93,90,2.24
533,Beroroha,MG,72.41,-21.68,45.17,70,0,1.45
534,Isla Vista,US,64.9,34.41,-119.86,45,1,16.11
535,Tabuk,PH,66.29,17.41,121.44,97,66,2.93
536,Imeni Poliny Osipenko,RU,29.39,52.42,136.49,61,26,2.28
537,Santa Cruz del Sur,CU,84.83,20.71,-78,57,67,9.04
538,Hirara,JP,76.73,24.8,125.28,83,0,4.43
539,Yefremov,RU,48.11,53.14,38.12,41,0,0.58
540,Mungwi,ZM,63.95,-10.17,31.37,97,100,5.39
541,Namatanai,PG,79.07,-3.66,152.44,85,57,4.94
542,Taltal,CL,67.19,-25.41,-70.49,64,0,6.44
543,Port Arthur,US,76.59,29.9,-93.93,50,1,12.75
544,Rantepao,ID,59.09,-2.97,119.9,91,39,3.22
545,Xuanhua,CN,53.51,40.61,115.04,57,0,2.24
546,Keti Bandar,PK,78.89,24.14,67.45,86,0,11.48
547,Alenquer,BR,80.6,-1.95,-54.74,88,75,8.05
548,Plonsk,PL,46.51,52.62,20.38,81,20,10.29
549,Cobija,BR,89.6,-11.02,-68.77,66,40,9.17
550,Mnogovershinnyy,RU,27.41,53.94,139.92,91,95,5.17
551,Abu Kamal,SY,53.69,34.45,40.92,54,62,19.1
552,Eureka,US,56.61,40.8,-124.16,71,1,12.75
553,Mujiayingzi,CN,47.03,42.12,118.78,48,2,14.12
554,Tubuala,PA,85.05,9.52,-79.03,70,40,9.17
555,Yokadouma,CM,74.21,3.52,15.05,86,65,2.64
556,Hailin,CN,35.51,44.57,129.38,28,0,1.61
557,Hellvik,NO,54.12,59.92,5.78,66,0,29.97
558,High Level,CA,57.2,58.52,-117.13,17,40,9.17
559,Mackay,CA,52.7,53.65,-115.58,21,90,6.93
560,Kalmunai,LK,77.27,7.42,81.82,90,100,2.33
561,Kyabe,TD,94.73,9.45,18.94,9,0,5.28
562,Yar-Sale,RU,30.29,66.83,70.83,89,100,11.65
563,Bakchar,RU,24.71,57.02,82.07,83,0,3.89
564,Luanda,AO,82.13,-8.83,13.24,82,95,7.99
565,Springbok,ZA,64.49,-29.67,17.88,41,0,8.08
566,Altoona,US,55.13,40.52,-78.39,54,90,10.29
567,Mumford,GH,81.59,5.26,-0.76,81,100,7.52
568,Katima Mulilo,NA,68,-17.5,24.28,77,85,1.12
569,Kuteynykove,UA,47.57,47.81,38.29,44,2,8.03
570,Knokke-Heist,BE,56.62,51.33,3.33,62,0,11.41
571,Awbari,LY,82.85,26.59,12.77,9,0,21.68
572,Coihueco,CL,64.4,-36.63,-71.83,59,20,5.82
573,Praxedis Guerrero,MX,82.2,31.37,-106.02,13,1,13.87
574,Winchester,GB,56.21,51.06,-1.31,58,0,2.24
575,Diamantina,BR,72.95,-18.24,-43.6,74,100,2.04
576,Arys,KZ,50,42.43,68.8,93,90,2.24
577,Sioux Lookout,CA,57.6,50.1,-91.92,43,75,4.94
578,Mayo,CA,46.4,63.59,-135.9,28,75,12.75
579,San Mariano,PH,75.83,16.98,122.01,90,3,0.89
580,Kankon,IN,79.97,15.02,74.02,73,16,7.11
581,Bilibino,RU,4.37,68.06,166.44,79,0,3.15
582,Dudinka,RU,10.4,69.41,86.18,85,75,22.37
583,Sitka,US,90,37.17,-99.65,15,0,20
584,Narsaq,GL,41,60.91,-46.05,44,39,9.17
585,Deputatskiy,RU,13.55,69.3,139.9,97,96,4.52
586,Clyde River,CA,1.4,70.47,-68.59,70,1,10.29
587,Jumla,NP,38.75,29.28,82.18,56,8,4.34
588,Bulaevo,KZ,37.67,54.91,70.44,59,74,4.59
589,Krasnoborsk,RU,36.77,61.56,45.93,93,95,5.46
590,Nioro,GM,87.53,13.79,-15.05,22,35,14.45
591,Nacala,MZ,74.57,-14.56,40.69,85,100,7.07
592,Tala,MX,87.89,20.65,-103.7,12,20,4.7
593,Carmen,PH,76.19,7.2,124.8,84,100,1.07
594,Carahue,CL,59,-38.71,-73.16,72,20,2.24
595,Cap-aux-Meules,CA,51.8,47.38,-61.86,93,90,14.99
596,Monywa,MM,87.53,22.12,95.13,25,0,8.97
597,Mirnyy,RU,44.87,56.57,36.46,58,0,2.82
598,Vikhorevka,RU,30.06,56.12,101.17,58,100,8.95
599,Opelousas,US,76.46,30.53,-92.08,38,1,10.29
600,Steinfurt,DE,60.26,52.13,7.39,44,0,3.36
601,Eston,CA,58.39,51.15,-108.75,16,20,18.34
602,Taos,US,61.59,36.41,-105.57,24,27,17.22
603,Mbini,GQ,80.33,1.58,9.62,85,96,10.2
604,Yamada,JP,56.86,36.58,137.08,76,75,8.05
605,Puerto del Rosario,ES,66.2,28.5,-13.86,68,20,12.75
606,Marfino,RU,48.87,56.07,37.56,56,0,2.24
607,Katsina,NG,88.97,12.99,7.6,9,51,6.89
608,Tabou,CI,79.25,4.42,-7.36,85,30,3.58
609,Concordia,AR,68,-31.4,-58.02,68,0,16.11
610,Barra,GM,69.8,13.49,-16.54,83,0,10.29
611,Guane,CU,76.01,22.2,-84.09,61,0,19.39
612,Alofi,NU,78.8,-19.06,-169.92,74,75,19.46
613,Cukai,MY,76.08,4.25,103.42,100,72,1.03
614,Tsumeb,NA,68.09,-19.25,17.72,53,3,3.58
615,Shieli,KZ,45.41,44.18,66.74,64,8,4.99
616,Havoysund,NO,40.1,71,24.66,80,75,41.38
617,Waingapu,ID,75.11,-9.65,120.26,89,94,9.15
618,Makat,KZ,48.83,47.65,53.35,45,2,6.53
619,Duldurga,RU,35.33,50.67,113.59,56,100,6.51
620,Viransehir,TR,43.07,37.24,39.76,88,100,7.16
621,Gao,ML,89.69,16.28,-0.04,28,11,7.74
622,Gamba,CN,27.05,28.28,88.52,43,81,4.18
623,Machinga,MW,65.21,-15.18,35.3,75,69,4.25
624,Gagino,RU,37,54.27,39.54,46,0,3.85
625,Inta,RU,35.33,66.04,60.13,95,99,15.14
626,Egvekinot,RU,5.09,66.32,-179.17,81,91,7.94
627,Ahuimanu,US,79.9,21.44,-157.84,69,75,11.41
628,Usinsk,RU,35.33,66,57.56,99,100,15.08
629,Caririacu,BR,80.6,-7.04,-39.28,88,40,4.38
630,Katsuura,JP,61.65,33.93,134.5,93,75,6.93
631,San Lorenzo,PY,73.4,-25.34,-57.51,88,75,6.93
632,Azangaro,PE,66.2,-14.91,-70.2,34,40,3.36
633,Balikpapan,ID,70.43,-1.24,116.86,98,50,0.54
634,Truckee,US,55.26,39.33,-120.18,26,1,10.29
635,Ratnagiri,IN,82.49,16.98,73.3,78,0,13.35
636,Conway,US,80.47,35.09,-92.44,39,1,10.29
637,Shahe,CN,55.67,36.85,114.5,78,85,2.98
638,Wajir,KE,87.35,1.75,40.07,52,84,19.89
639,Sistranda,NO,46.36,63.73,8.83,87,75,13.87
640,Truth or Consequences,US,80.78,33.13,-107.25,9,1,17.22
641,Ranfurly,CA,55.49,53.41,-111.68,25,13,7.99
642,Silute,LT,43.61,55.35,21.48,84,0,9.08
643,Komsomolskiy,RU,32.99,67.55,63.78,97,100,14.58
644,Avera,US,69.44,33.19,-82.53,37,1,11.41
645,Halifax,CA,54.91,44.65,-63.58,93,90,14.99
646,Martaban,MM,80.87,16.53,97.61,85,1,4.54
647,Bilecik,TR,37.54,40.14,29.98,75,0,3.36
648,Kholuy,RU,47.75,56.58,41.87,56,37,1.81
649,Chapais,CA,50,49.78,-74.86,78,1,11.41
650,Xichang,CN,43.25,27.88,102.25,75,0,3.33
651,Yinchuan,CN,61,38.48,106.21,14,89,4
652,Port-Gentil,GA,75.2,-0.72,8.78,94,20,2.24
653,Moncton,CA,62.67,46.1,-64.8,100,90,8.05
654,Venado Tuerto,AR,68,-33.75,-61.97,20,9,4
655,Bar Harbor,US,52.18,44.39,-68.2,93,90,5.82
656,Kutum,SD,75.11,14.2,24.66,11,30,9.15
657,Makurdi,NG,90.23,7.73,8.54,37,80,4.45
658,Ketchikan,US,45.19,55.34,-131.65,93,90,23.04
659,Mabaruma,GY,86.09,8.2,-59.78,53,66,7.27
660,Barmer,IN,86.09,25.74,71.4,36,0,12.68
661,Piltene,LV,42.8,57.23,21.67,81,0,4.7
662,Hendek,TR,37.09,40.8,30.75,93,0,4.29
663,San Policarpo,PH,81.23,12.18,125.51,73,75,10.11
664,Hohhot,CN,46.4,40.81,111.65,70,0,6.71
665,Himatnagar,IN,84.2,23.6,72.96,26,0,2.24
666,Sisimiut,GL,27.05,66.94,-53.67,86,96,19.42
667,Shadrinsk,RU,40.01,56.09,63.63,78,94,6.49
668,Aska,IN,80.69,19.61,84.67,60,90,5.14
669,Fukue,JP,59.65,35.03,136.69,93,75,4.7
670,Letka,BA,54.07,43.74,17.27,71,0,3.36
671,Ziguinchor,SN,78.8,12.56,-16.27,69,0,6.93
672,Nushki,PK,80.15,29.55,66.02,14,0,5.73
673,Piacabucu,BR,79.97,-10.41,-36.43,77,100,6.33
